OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces_canus
OTU_10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Bartonella_birtlesii
OTU_100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium_sphaerophysae
OTU_1000	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Verrucosispora	Verrucosispora_wenchangensis
OTU_10001	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomarinum	Methylomarinum_vadi
OTU_10002	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	Thermodesulfovibrio_aggregans
OTU_10003	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Ornithinimicrobium	Ornithinimicrobium_pekingense
OTU_10006	Bacteria	Verrucomicrobia	Subdivision3	Xanthomonadales	Xanthomonadaceae	Subdivision3_genera_incertae_sedis	Acidithiobacillus_albertensis
OTU_10007	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	Thermaerobacter_nagasakiensis
OTU_1001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Kaistia	Methyloferula_stellata
OTU_10013	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Planosporangium	Polymorphospora_rubra
OTU_10018	Bacteria	Proteobacteria	Deltaproteobacteria	Rhizobiales	Syntrophaceae	Gp22	Smithella_propionica
OTU_10019	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga_subterranea
OTU_1002	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Desulfobacteraceae	Desulfatiglans	Desulfatiglans_parachlorophenolica
OTU_10020	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Paenibacillus_pectinilyticus
OTU_10022	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Thermasporomyces	Thermasporomyces_composti
OTU_10024	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium_vulgare
OTU_10025	Bacteria	Acidobacteria	Acidobacteria_Gp5	Unassigned	Unassigned	Gp5	Unassigned
OTU_10028	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto	Clostridium_vulturis
OTU_10031	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Paenibacillus_ferrarius
OTU_10033	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingosinicella_vermicomposti
OTU_10035	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas	Craurococcus_roseus
OTU_10036	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Phytomonospora	Phytomonospora_endophytica
OTU_10039	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Prosthecomicrobium	Prosthecomicrobium_hirschii
OTU_1004	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Couchioplanes	Actinoplanes_friuliensis
OTU_10040	Bacteria	Acidobacteria	Acidobacteria_Gp5	Unassigned	Unassigned	Gp5	Unassigned
OTU_10045	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	Amaricoccus_kaplicensis
OTU_10046	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
OTU_10047	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	Acetobacteroides_hydrogenigenes
OTU_10048	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Oceanobacillus	Oceanobacillus_profundus
OTU_10049	Bacteria	Acidobacteria	Acidobacteria_Gp7	Unassigned	Unassigned	Gp7	Unassigned
OTU_1005	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Paenibacillus_amylolyticus
OTU_10050	Bacteria	Proteobacteria	Deltaproteobacteria	Rhodobacterales	Rhodobacteraceae	Anaeromyxobacter	Anaeromyxobacter_dehalogenans
